Initial profile at 0515 UTC

%===================================================================
Altitude   Pot. Temperature   Mixing ratio       u             v
(agl m)          (K)          (g kg^{-1})    (m s^{-1})  (m s^{-1})
%===================================================================
2652           309.63           3.35           12.64           -1.99
2664           309.68           3.33           12.68           -2.00
2676           309.73           3.32           12.73           -2.01
2688           309.78           3.30           12.77           -2.02
2700           309.83           3.29           12.81           -2.03
2712           309.89           3.27           12.85           -2.03
2724           309.94           3.25           12.90           -2.04
2736           309.99           3.24           12.94           -2.05
2748           310.04           3.22           12.98           -2.06
2760           310.09           3.20           13.02           -2.07
2772           310.15           3.19           13.07           -2.07
2784           310.20           3.18           13.11           -2.08
2796           310.25           3.17           13.15           -2.09
2808           310.30           3.16           13.19           -2.10
2820           310.35           3.16           13.24           -2.11
2832           310.41           3.15           13.28           -2.12
2844           310.46           3.15           13.32           -2.12
2856           310.51           3.14           13.37           -2.13
2868           310.56           3.14           13.41           -2.14
2880           310.61           3.13           13.45           -2.15
2892           310.67           3.13           13.49           -2.16
2904           310.72           3.12           13.54           -2.17
2916           310.77           3.12           13.58           -2.17
2928           310.82           3.11           13.62           -2.18
2940           310.87           3.11           13.66           -2.19
2952           310.93           3.10           13.71           -2.20
2964           310.98           3.10           13.75           -2.21
2976           311.03           3.09           13.79           -2.21
2988           311.08           3.09           13.83           -2.22
3000           311.14           3.08           13.88           -2.23
3012           311.19           3.08           13.92           -2.24
3024           311.24           3.07           13.96           -2.25
3036           311.29           3.07           14.00           -2.26
3048           311.34           3.06           14.05           -2.26
3060           311.40           3.06           14.09           -2.27
3072           311.45           3.05           14.13           -2.28
